layer,epsilon,cc,tag,mode,K,N,seed_a,seed_b,mean_cosine,min_cosine,mean_score_corr,min_score_corr,mean_label_jaccard
13,1.0,ambig,flip,chosen,10,200,0,1,0.3823119807173498,-0.007313170470297337,0.021110481093993355,-0.08472220001447654,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,0.45056856237351894,-0.033126138150691986,0.07653164912452295,-0.030185244122556104,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,0.5476810274645686,-0.023133056238293648,0.0046524549641916765,-0.06696772544816411,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,0.40837841406464576,-0.10003071278333664,0.0278407283475749,-0.17471649980297257,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,0.3897303085774183,0.05208096280694008,-0.02358467011506004,-0.14679306739565484,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,0.3659999407827854,-0.0049615949392318726,0.019332889280944808,-0.22653396500466738,1.0
13,1.0,disambig,noflip,chosen,10,200,0,1,0.36380945313721896,-0.02091583050787449,0.011815619306269131,-0.06288002913654202,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,0.4547698212787509,0.022335706278681755,-0.0029461250695879933,-0.1278677151737057,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,0.4423696896061301,-0.030057454481720924,0.04530082430145282,-0.003936891434124923,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,0.5151126235723495,-0.09550309181213379,0.08170160402904812,-0.10876963713945205,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,0.5564831970259547,-0.014822298660874367,0.029620611499584247,-0.03245036072181431,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,0.3607172497548163,-0.012301119975745678,0.051276695305237895,-0.07345361410526409,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,0.5800668850541115,-0.17562387883663177,0.06474541526426071,-0.17248639664822915,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,0.47121304646134377,-0.0367107018828392,0.06029363364653243,-0.017012317318325466,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,0.4204907238483429,0.039041537791490555,0.03218108360113747,-0.06623698899160417,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,0.39004211574792863,0.08920706808567047,0.037946425615203894,-0.06791042248964545,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,0.3894329618662596,-0.06895329803228378,0.015054996814114296,-0.054709929382846426,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,0.46439967919141056,-0.06919396668672562,0.07352502556701432,-0.0757938011790428,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,0.5663451729167719,-0.0005377565394155681,0.03357360352445719,-0.021577771657439675,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,0.41925585120916364,0.050829462707042694,0.06929810379749049,-0.06500892681374197,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,0.6601159878075122,0.05635836720466614,0.11201014011938319,-0.08446116008143041,1.0
13,2.8,disambig,flip,rejected,10,200,0,1,0.41570855751633645,0.04058728739619255,0.05283138352807574,-0.017354880004347366,1.0
13,2.8,disambig,noflip,chosen,10,200,0,1,0.4291106354445219,-0.04525447636842728,-0.002746235960606482,-0.11060096592441493,1.0
13,2.8,disambig,noflip,rejected,10,200,0,1,0.33852826450020074,-0.02255658246576786,0.06077251629304371,-0.04126787122747957,1.0
1,1.0,ambig,flip,chosen,10,200,0,1,0.32231290522031486,-0.0023185727186501026,-0.009252958157735209,-0.12765421532018986,1.0
1,1.0,ambig,flip,rejected,10,200,0,1,0.42267350293695927,-0.036479707807302475,0.12452390666158149,-0.0076372341991106105,1.0
1,1.0,ambig,noflip,chosen,10,200,0,1,0.5494089439511299,0.07386727631092072,0.024165822476642902,-0.0422390533806634,1.0
1,1.0,ambig,noflip,rejected,10,200,0,1,0.3831306015141308,-0.0068862829357385635,0.039710313329885075,-0.0964790343227882,1.0
1,1.0,disambig,flip,chosen,10,200,0,1,0.4926913887262344,0.11144798994064331,0.07678399475455741,-0.11794082177660006,1.0
1,1.0,disambig,flip,rejected,10,200,0,1,0.40841397021431475,-0.003878756193444133,0.037512026317227665,-0.0668189726590911,1.0
1,1.0,disambig,noflip,chosen,10,200,0,1,0.49324763715267184,-0.14323046803474426,0.05036977280642617,-0.10867437664505324,1.0
1,1.0,disambig,noflip,rejected,10,200,0,1,0.4201587707269937,-0.04810424894094467,0.02781569686705866,-0.061767159244201265,1.0
1,2.0,ambig,flip,chosen,10,200,0,1,0.4321153471246362,-0.056405168026685715,0.022143638385152986,-0.0994627406248702,1.0
1,2.0,ambig,flip,rejected,10,200,0,1,0.5139266449958086,-0.09339386224746704,0.08189673069100448,-0.07636954296782648,1.0
1,2.0,ambig,noflip,chosen,10,200,0,1,0.483536715246737,-0.018753115087747574,0.04045913348395628,-0.041345343238154926,1.0
1,2.0,ambig,noflip,rejected,10,200,0,1,0.4317294806241989,0.10214227437973022,0.04105519328153785,-0.10191448943295314,1.0
1,2.0,disambig,flip,chosen,10,200,0,1,0.5186197504401207,-0.09287184476852417,0.032714743584037684,-0.10501270779726539,1.0
1,2.0,disambig,flip,rejected,10,200,0,1,0.4556447258219123,-0.09142154455184937,0.058544389758015083,-0.21011744691563744,1.0
1,2.0,disambig,noflip,chosen,10,200,0,1,0.4461542755365372,0.12928083539009094,0.014425993334094311,-0.12166704390612845,1.0
1,2.0,disambig,noflip,rejected,10,200,0,1,0.41811118139885367,-0.05473824217915535,0.05447798065619371,-0.09172082754839835,1.0
1,2.8,ambig,flip,chosen,10,200,0,1,0.42510989084839823,-0.07463027536869049,0.019147172568693117,-0.050724148120644484,1.0
1,2.8,ambig,flip,rejected,10,200,0,1,0.4337408737977967,-0.04011155664920807,0.09337000271069376,-0.030759103197538416,1.0
1,2.8,ambig,noflip,chosen,10,200,0,1,0.48348074965178967,-0.019403215497732162,0.040322776793991696,-0.04132025357270035,1.0
1,2.8,ambig,noflip,rejected,10,200,0,1,0.43149246126413343,0.10226166248321533,0.04086549996204007,-0.10195224164458824,1.0
1,2.8,disambig,flip,chosen,10,200,0,1,0.5521654121577739,-0.032979100942611694,0.01463567965348157,-0.12551754247372196,1.0
1,2.8,disambig,flip,rejected,10,200,0,1,0.42052095429971814,0.012234953232109547,0.07709618204956907,-0.027329973966566546,1.0
1,2.8,disambig,noflip,chosen,10,200,0,1,0.4351430043578148,0.13833527266979218,0.015126808686264624,-0.12167198104706753,1.0
1,2.8,disambig,noflip,rejected,10,200,0,1,0.4224047844763845,-0.057938847690820694,0.05900771218290759,-0.08758923797077822,1.0
21,1.0,ambig,flip,chosen,10,200,0,1,0.36207301390822977,-0.001985218608751893,0.03786794796639474,-0.022800482250208032,1.0
21,1.0,ambig,flip,rejected,10,200,0,1,0.4523147275671363,0.025009965524077415,0.04021491677520641,-0.1572669980794108,1.0
21,1.0,ambig,noflip,chosen,10,200,0,1,0.3018299726303667,-0.006958379410207272,-0.044026724085559424,-0.16787503094930173,1.0
21,1.0,ambig,noflip,rejected,10,200,0,1,0.4634684272110462,0.08179543167352676,0.056820958221177054,-0.014047139163595106,1.0
21,1.0,disambig,flip,chosen,10,200,0,1,0.43216951489448546,0.03741241991519928,0.04485533848173234,-0.06350542499677785,1.0
21,1.0,disambig,flip,rejected,10,200,0,1,0.39275825638324025,-0.008503075689077377,0.0890697362378349,-0.08345888800563563,1.0
21,1.0,disambig,noflip,chosen,10,200,0,1,0.4494427828118205,-0.024028876796364784,0.01596451938238621,-0.1336707859336678,1.0
21,1.0,disambig,noflip,rejected,10,200,0,1,0.5036830022931099,-0.09109009802341461,0.0032715837372949697,-0.1051050905356884,1.0
21,2.0,ambig,flip,chosen,10,200,0,1,0.29218430295586584,-0.03450344502925873,0.014024049260093124,-0.20922188874448805,1.0
21,2.0,ambig,flip,rejected,10,200,0,1,0.45794352404773236,-0.027205269783735275,0.07574645273606026,-0.07242482226400725,1.0
21,2.0,ambig,noflip,chosen,10,200,0,1,0.2930368147790432,0.013843294233083725,0.03169127770138075,-0.12676931512521997,1.0
21,2.0,ambig,noflip,rejected,10,200,0,1,0.4167139230296016,0.019559545442461967,0.020227883949161245,-0.1527234496241724,1.0
21,2.0,disambig,flip,chosen,10,200,0,1,0.4654061641544104,0.054963719099760056,0.11221900163884935,-0.11363520704585917,1.0
21,2.0,disambig,flip,rejected,10,200,0,1,0.4761225715279579,-0.08293524384498596,0.09425982680426573,-0.07728073062265489,1.0
21,2.0,disambig,noflip,chosen,10,200,0,1,0.4012080503627658,-0.06748674809932709,0.035447725735535666,-0.09139881588120913,1.0
21,2.0,disambig,noflip,rejected,10,200,0,1,0.5160323649644851,0.21869635581970215,0.016475770225706628,-0.09349465124728326,1.0
21,2.8,ambig,flip,chosen,10,200,0,1,0.26535425838083027,-0.0294375978410244,0.027913921324697576,-0.09637450900996596,1.0
21,2.8,ambig,flip,rejected,10,200,0,1,0.46862093508243563,0.2139803171157837,0.13112337082329498,-0.020639355024404307,1.0
21,2.8,ambig,noflip,chosen,10,200,0,1,0.39622838199138644,-0.11179937422275543,0.01998792372693724,-0.12298151169036951,1.0
21,2.8,ambig,noflip,rejected,10,200,0,1,0.3437210969626904,-0.003890249878168106,0.02014748110079411,-0.12495260407885474,1.0
21,2.8,disambig,flip,chosen,10,200,0,1,0.444184300780762,-0.10354088246822357,0.12411721965124727,-0.09018310202097712,1.0
21,2.8,disambig,flip,rejected,10,200,0,1,0.534794039092958,-0.05419648438692093,0.10632549109972386,-0.028644351340337642,1.0
21,2.8,disambig,noflip,chosen,10,200,0,1,0.47287920489907265,0.06563235074281693,0.02163315989823448,-0.05544082591216822,1.0
21,2.8,disambig,noflip,rejected,10,200,0,1,0.4560792699456215,0.07926856726408005,0.05387397039199323,-0.05768040689409947,1.0
